date;category;amount;notes
2025-01-03;Food;520;Lunch at cafe with colleagues
2025-01-05;Transport;150;Uber to office
2025-01-08;Food;340;Groceries at supermarket
2025-01-10;Entertainment;800;Movie tickets and dinner
2025-01-12;Utilities;2500;Electricity bill
2025-01-15;Food;280;Coffee and breakfast
2025-01-18;Transport;200;Gas station fill-up
2025-01-20;Shopping;1500;New shoes and clothes
2025-01-22;Food;450;Restaurant dinner
2025-01-25;Healthcare;1200;Doctor visit and medications
2025-01-28;Transport;175;Taxi to airport
2025-01-30;Food;380;Weekly groceries
2025-02-01;Rent;12000;January rent payment
2025-02-03;Food;410;Lunch at Italian restaurant
2025-02-05;Utilities;1800;Water and internet bills
2025-02-07;Transport;320;Metro monthly pass
2025-02-09;Food;290;Breakfast at diner
2025-02-12;Food;850;Groceries and household items
2025-02-14;Entertainment;1200;Valentine's Day celebration
2025-02-16;Shopping;2500;Electronics purchase
2025-02-18;Food;370;Pizza delivery
2025-02-20;Transport;180;Uber rides
2025-02-22;Healthcare;800;Pharmacy medicines
2025-02-25;Food;420;Sushi dinner
2025-02-27;Entertainment;950;Concert tickets
2025-03-01;Rent;12000;February rent payment
2025-03-03;Food;480;Grocery shopping
2025-03-05;Transport;250;Car maintenance
2025-03-08;Utilities;2200;Electricity and gas
2025-03-10;Food;310;Breakfast and coffee
2025-03-12;Shopping;3200;Furniture for apartment
2025-03-15;Food;550;Weekend brunch
2025-03-17;Transport;140;Bus tickets
2025-03-19;Entertainment;700;Streaming subscriptions
2025-03-21;Food;680;BBQ party supplies
2025-03-23;Healthcare;1500;Dental checkup
2025-03-25;Transport;290;Gas and parking
2025-03-28;Food;430;Restaurant with friends
2025-03-30;Shopping;890;Books and stationery
2025-04-01;Rent;12000;March rent payment
2025-04-03;Food;520;Weekly groceries
2025-04-05;Utilities;1900;Internet and phone bills
2025-04-07;Transport;350;Taxi and uber rides
2025-04-09;Food;280;Lunch at food court
2025-04-11;Entertainment;1100;Theater tickets
2025-04-13;Shopping;1800;Clothing and accessories
2025-04-15;Food;390;Dinner at steakhouse
2025-04-17;Transport;220;Gas station
2025-04-19;Healthcare;950;Eye examination
2025-04-21;Food;460;Chinese takeout
2025-04-23;Entertainment;600;Gaming subscription
2025-04-25;Transport;185;Metro tickets
2025-04-27;Food;720;Fine dining experience
2025-04-29;Shopping;2100;Home appliances
2025-05-01;Rent;12000;April rent payment
2025-05-03;Food;540;Groceries and snacks
2025-05-05;Utilities;2300;Electricity bill
2025-05-07;Transport;270;Uber and cab fares
2025-05-09;Food;330;Breakfast meeting
2025-05-11;Entertainment;850;Museum and art gallery
2025-05-13;Shopping;1600;Sports equipment
2025-05-15;Food;490;BBQ restaurant
2025-05-17;Transport;195;Parking fees
2025-05-19;Healthcare;1100;Medical tests
2025-05-21;Food;410;Pizza and wings
2025-05-23;Entertainment;920;Music festival
2025-05-25;Transport;240;Gas and tolls
2025-05-27;Food;580;Seafood restaurant
2025-05-29;Shopping;750;Gifts for friends
2025-05-31;Food;440;End of month groceries
